title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Are You Sure? (Feat. Ty Dolla $Ign),"Kris Kross Amsterdam, Conor Maynard, Ty Dolla $Ign",0.685,0.819,1,-3.748,0.0494,0.0918,7.33e-06,0.0934,0.607,104.978
We Can Do Better,Matt Simons,0.636,0.687,8,-4.853,0.0583,0.036,1.8e-05,0.0663,0.722,91.079
Catch & Release (Deepend Remix),"Matt Simons, Deepend",0.836,0.499,1,-9.882,0.0479,0.512,0.000991,0.111,0.109,105.012
Say Amen (Saturday Night),Panic! At The Disco,0.491,0.867,6,-2.313,0.103,0.167,0.0,0.458,0.602,167.965
Lay Your Weapons Down,Ilse Delange,0.543,0.682,3,-9.099,0.0632,0.00839,0.00172,0.0881,0.465,93.979
So Incredible,Ilse Delange,0.537,0.857,0,-5.791,0.0257,0.114,0.0,0.724,0.747,103.989
Miracle,Ilse Delange,0.546,0.48,11,-7.953,0.0325,0.482,5.26e-06,0.0954,0.181,130.198
I'M Not So Tough,"Ilse Delange, Green-E, Pete",0.74,0.593,1,-7.086,0.0268,0.0254,4.45e-06,0.108,0.554,116.9
Way Down We Go,Kaleo,0.489,0.505,10,-8.022,0.117,0.579,0.000333,0.104,0.337,163.255
Soldi,Mahmood,0.729,0.589,3,-9.871,0.0483,0.0361,0.0,0.305,0.349,95.065
You Let Me Walk Alone,Michael Schulte,0.456,0.279,11,-9.955,0.0297,0.788,0.0,0.103,0.42,149.797
Run With The Lions,Jurijus,0.568,0.704,0,-6.545,0.0445,0.0351,0.00882,0.094,0.399,157.969
Giant (With Rag'N'Bone Man),"Calvin Harris, Rag'N'Bone Man",0.807,0.887,1,-4.311,0.0361,0.016,0.000503,0.0811,0.606,122.015
Butterflies,Gabbie Hanna,0.707,0.356,5,-8.055,0.0666,0.24,0.0,0.112,0.289,77.494
29,Loïc Nottet,0.41,0.292,8,-6.955,0.0314,0.711,0.0,0.111,0.193,104.635
22,Sarah Mcternan,0.711,0.45,0,-9.226,0.0509,0.12,0.0,0.647,0.672,125.041
Fallin',Alicia Keys,0.652,0.609,11,-7.519,0.037,0.263,0.00101,0.233,0.482,95.986
Stranger In Paradise,"Saco, Bram Bos",0.725,0.728,2,-7.295,0.0727,0.197,0.0,0.109,0.583,113.072
Walk Me Home,P!Nk,0.652,0.453,1,-6.119,0.0445,0.0519,0.0,0.179,0.432,88.038
Under The Bridge,"Project North, Darrick Atwater",0.478,0.544,4,-4.482,0.0287,0.478,0.0,0.222,0.276,154.94
"What Is Love - 7"" Mix",Haddaway,0.683,0.772,7,-7.907,0.0311,0.0222,0.0149,0.203,0.737,123.871
Too Much To Ask,Niall Horan,0.443,0.533,0,-6.548,0.0396,0.371,0.0,0.128,0.201,77.344
All I Am,Jess Glynne,0.743,0.642,0,-5.402,0.0344,0.0473,1.86e-06,0.176,0.523,122.042
When You Love Someone,James Tw,0.675,0.444,7,-6.067,0.028,0.248,0.0,0.0531,0.356,125.884
Woman Like Me (Feat. Nicki Minaj),"Little Mix, Nicki Minaj",0.757,0.849,5,-3.424,0.0536,0.173,0.0,0.0878,0.826,150.036
Rise,"Jonas Blue, Jack & Jack",0.69,0.784,1,-4.653,0.032,0.323,0.0,0.203,0.669,106.066
Hard Feelings/Loveless,Lorde,0.487,0.445,1,-10.959,0.113,0.0328,0.0104,0.0778,0.18,97.031
Bad Behavior,The Maine,0.568,0.983,2,-2.674,0.12,0.00454,3.36e-06,0.371,0.672,102.949
Quarter Past Midnight,Bastille,0.504,0.821,8,-3.356,0.0598,0.275,0.0,0.0418,0.458,155.131
Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,0,-9.928,0.0499,0.271,0.0,0.3,0.224,71.105
When We Were Young,"Andy Black, Juliet Simms",0.413,0.605,11,-6.275,0.0298,0.136,7.25e-06,0.113,0.356,141.842
Legendary,Welshly Arms,0.537,0.656,11,-5.863,0.0411,0.0458,2.54e-06,0.112,0.45,141.873
Zombie,Bad Wolves,0.448,0.826,2,-3.244,0.0319,0.00756,0.0,0.117,0.19,77.093
Don'T Stop Me Now - ...Revisited,Queen,0.465,0.917,5,-6.331,0.237,0.0152,0.02,0.286,0.39,155.061
Don'T Stop Believin',Journey,0.5,0.748,4,-9.072,0.0363,0.127,0.0,0.447,0.514,118.852
Fix You,Coldplay,0.209,0.417,3,-8.74,0.0338,0.164,0.00196,0.113,0.124,138.178
Hey Ya! - Live Session From Spotify Studios Nyc,Panic! At The Disco,0.559,0.914,4,-6.869,0.0739,0.023,0.0,0.365,0.772,80.995
Misery Business,Paramore,0.517,0.906,1,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977
Broken,Lovelytheband,0.666,0.728,7,-5.808,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996
Broken Heart,Escape The Fate,0.528,0.861,2,-4.309,0.0518,0.0108,0.0,0.268,0.591,95.02
Don'T Stop Me Now - Remastered 2011,Queen,0.559,0.868,5,-5.276,0.17,0.0475,0.000176,0.776,0.609,156.295
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,"Lana Del Rey, Cedric Gervais",0.572,0.81,1,-5.791,0.0558,0.0157,6.53e-06,0.13,0.11,126.052
Are You With Me,Lost Frequencies,0.763,0.608,5,-8.1,0.035,0.262,2.5e-05,0.12,0.393,121.02
King,Years & Years,0.56,0.857,4,-4.145,0.0384,0.0594,0.0,0.381,0.432,119.975
Under Control (Feat. Hurts),"Calvin Harris, Alesso, Hurts",0.544,0.915,8,-3.405,0.0841,0.129,0.000914,0.115,0.51,126.094
Take Me Home (Feat. Bebe Rexha),"Cash Cash, Bebe Rexha",0.571,0.903,7,-2.184,0.214,0.0615,1.23e-06,0.186,0.477,127.951
Ain'T Nobody (Loves Me Better),"Felix Jaehn, Jasmine Thompson",0.777,0.564,2,-6.967,0.0315,0.683,0.000252,0.0696,0.465,117.973
Stole The Show,"Kygo, Parson James",0.64,0.635,8,-7.565,0.226,0.271,0.0,0.319,0.475,100.034
Addicted To You,Avicii,0.569,0.785,1,-4.057,0.0457,0.0505,1.12e-06,0.086,0.303,128.031
Hide Away,Daya,0.885,0.801,11,-4.716,0.0882,0.225,1.65e-06,0.0733,0.466,95.011
Glitter Op Mijn Poes,Alice,0.961,0.538,11,-12.347,0.316,0.0217,4.59e-05,0.0743,0.618,125.006
De Manier,"Kraantje Pappie, Bizzey",0.773,0.883,7,-3.072,0.102,0.513,0.0,0.0722,0.821,122.035
Blow (With Chris Stapleton & Bruno Mars),"Ed Sheeran, Chris Stapleton, Bruno Mars",0.631,0.796,1,-5.35,0.0401,0.000245,0.0108,0.38,0.596,92.47
Als Het Avond Is,Suzan & Freek,0.724,0.469,11,-7.216,0.0303,0.527,0.0,0.113,0.448,104.98
Let It Be,Feestteam,0.422,0.963,10,-7.215,0.218,0.109,0.0,0.722,0.331,74.98
Obsessed,Maggie Lindemann,0.822,0.575,6,-4.587,0.0464,0.0182,4.45e-05,0.109,0.286,110.028
Love On Myself,"Felix Jaehn, Calum Scott",0.792,0.691,4,-7.073,0.0507,0.264,7.05e-06,0.0957,0.782,122.014
Mi Gente,"J Balvin, Willy William",0.548,0.701,11,-4.862,0.0914,0.0178,1.34e-05,0.134,0.309,104.237
Losing My Religion,R.E.M.,0.666,0.855,9,-5.051,0.0295,0.179,1.2e-06,0.0987,0.803,125.639
Numb,Dotan,0.601,0.54,1,-7.032,0.0307,0.107,0.000131,0.174,0.291,76.007
Home Alone,Ansel Elgort,0.48,0.784,4,-2.749,0.0594,0.00657,1.79e-05,0.134,0.0965,134.876
You Can Count On Me,"Ansel Elgort, Logic",0.654,0.672,0,-5.258,0.0458,0.23,0.0,0.271,0.342,97.992
All I Think About Is You,Ansel Elgort,0.46,0.785,1,-4.72,0.0642,0.0682,0.0,0.0971,0.464,97.948
If I Ain'T Got You,Davina Michelle,0.5,0.481,7,-2.61,0.0311,0.831,0.0,0.11,0.265,119.325
Good Feeling,Flo Rida,0.706,0.89,1,-4.444,0.0688,0.0588,0.00286,0.306,0.684,128.011
Thriller - Single Version,Michael Jackson,0.769,0.774,11,-7.28,0.0492,0.0638,9.41e-06,0.653,0.846,118.396
"(I'Ve Had) The Time Of My Life - From ""Dirty Dancing"" Soundtrack","Bill Medley, Jennifer Warnes",0.432,0.731,6,-9.294,0.0455,0.0435,1.1e-05,0.148,0.426,106.902
Streets,Kensington,0.375,0.598,6,-10.36,0.0339,0.000221,0.00219,0.165,0.417,168.05
Brabant,Guus Meeuwis,0.269,0.438,7,-8.72,0.0353,0.604,0.0101,0.17,0.416,162.748
Het Regent Zonnestralen,Acda En De Munnik,0.618,0.667,7,-7.784,0.0274,0.256,0.0,0.0789,0.779,108.108
Scared To Be Lonely,"Martin Garrix, Dua Lipa",0.562,0.515,1,-9.277,0.0779,0.132,0.0,0.377,0.203,137.665
Year Of Summer (Feat. Niels Geusebroek) - Radio Edit,"Wildstylez, Niels Geusebroek",0.558,0.835,9,-8.573,0.0432,0.176,0.000496,0.282,0.428,149.902
Things We Lost In The Fire,Bastille,0.581,0.865,4,-7.563,0.0522,0.0545,3.57e-06,0.326,0.593,134.059
More Than You Know,Axwell /\ Ingrosso,0.64,0.628,5,-8.186,0.0337,0.0335,0.0,0.252,0.465,123.061
Stolen Dance,Milky Chance,0.885,0.581,11,-8.813,0.0378,0.427,0.000204,0.0759,0.728,114.016
Knockin' On Heaven'S Door,Guns N' Roses,0.496,0.739,6,-7.193,0.0415,0.0211,0.00444,0.106,0.378,132.41
Knockin' On Heaven'S Door,Bob Dylan,0.513,0.396,7,-13.061,0.0299,0.251,0.177,0.11,0.229,140.208
Wonderwall,Oasis,0.412,0.844,2,-5.613,0.037,0.00214,0.0,0.134,0.459,174.452
Better Now,Davina Michelle,0.488,0.728,7,-4.457,0.0827,0.0795,0.0,0.309,0.267,158.225
California Cosmo,Eddie Island,0.448,0.646,9,-5.617,0.0461,0.0865,0.0,0.0852,0.523,90.53
First Day,Eddie Island,0.576,0.582,3,-8.274,0.0685,0.656,0.0,0.202,0.453,150.082
Move On,Mike Posner,0.736,0.688,2,-5.736,0.0478,0.207,0.499,0.402,0.36,102.009
At Last,Beyoncé,0.26,0.26,5,-10.669,0.0329,0.666,0.00447,0.175,0.318,172.655
Hurt,Christina Aguilera,0.327,0.295,4,-6.907,0.0313,0.775,0.0,0.107,0.143,148.574
You Don'T Own Me (Feat. G-Eazy),"Saygrace, G-Eazy",0.332,0.635,7,-5.653,0.0898,0.159,2.79e-06,0.0599,0.261,186.249
Use Somebody,Kings Of Leon,0.276,0.715,0,-5.356,0.0432,0.00552,0.000417,0.201,0.173,137.028
Paparazzi,Lady Gaga,0.762,0.692,5,-3.973,0.0438,0.113,0.0,0.094,0.397,114.906
Con Calma,"Daddy Yankee, Snow",0.737,0.86,8,-2.652,0.0593,0.11,1.94e-06,0.0574,0.656,93.989
You Belong With Me,Taylor Swift,0.687,0.745,6,-4.432,0.0379,0.178,1.59e-05,0.111,0.435,129.966
Woman Like Me (Feat. Nicki Minaj),"Little Mix, Nicki Minaj",0.754,0.854,5,-3.449,0.0608,0.177,0.0,0.0808,0.8,75.002
"Read All About It, Pt. Iii",Emeli Sandé,0.63,0.44,2,-7.186,0.0249,0.822,3.87e-06,0.0926,0.343,98.082
Reünie,Snelle,0.508,0.35,9,-9.205,0.152,0.674,0.0,0.587,0.509,96.478
Can’T Help Falling In Love,Samantha Harvey,0.414,0.15,0,-8.183,0.0391,0.932,0.0,0.15,0.249,124.034
Bad Romance,Lady Gaga,0.693,0.924,0,-3.711,0.0392,0.0034,4.4e-05,0.0926,0.715,118.983
Brother,Kodaline,0.493,0.636,10,-5.894,0.049,0.341,0.0,0.201,0.228,120.136
You Know I'M No Good,Amy Winehouse,0.705,0.806,9,-3.607,0.0309,0.0132,0.00428,0.0701,0.734,103.383
Tears Dry On Their Own,Amy Winehouse,0.643,0.871,1,-2.734,0.118,0.491,0.0,0.29,0.452,121.569
Gone Away,H.E.R.,0.39,0.335,6,-12.717,0.141,0.669,0.0,0.0958,0.295,77.975
Make You Feel My Love,Adele,0.559,0.172,10,-10.636,0.0291,0.907,0.000383,0.105,0.0955,77.025
Turning Tables,Adele,0.361,0.446,0,-6.044,0.0281,0.95,1.32e-05,0.132,0.212,155.542
Mercy - Acoustic Guitar,Shawn Mendes,0.622,0.346,11,-6.522,0.0311,0.747,0.0,0.113,0.428,144.069
Mercy,Lewis Capaldi,0.628,0.57,6,-7.99,0.0375,0.0707,0.0,0.182,0.369,96.129
Can'T Remember To Forget You (Feat. Rihanna),"Shakira, Rihanna",0.694,0.81,11,-3.556,0.0661,0.122,0.0,0.141,0.824,137.968
The One That Got Away,Katy Perry,0.687,0.792,1,-4.023,0.0353,0.000802,0.0,0.2,0.864,133.962
Ritual,"Tiësto, Jonas Blue, Rita Ora",0.647,0.726,3,-4.389,0.0552,0.157,0.0,0.0844,0.767,114.996
Harder (With Bebe Rexha),"Jax Jones, Bebe Rexha",0.906,0.833,5,-3.027,0.0729,0.0899,0.0,0.154,0.752,104.017
I Knew You Were Trouble,Taylor Swift,0.499,0.467,6,-6.744,0.0461,0.00593,1.65e-06,0.0361,0.637,76.76
Bleeding Love,Leona Lewis,0.635,0.647,5,-5.864,0.0366,0.192,0.0,0.154,0.201,104.058
We Are Never Ever Getting Back Together,Taylor Swift,0.624,0.685,7,-5.902,0.12,0.0105,2.22e-05,0.126,0.781,86.059
Impossible - Main,Shontelle,0.599,0.624,8,-3.631,0.0343,0.385,0.0,0.125,0.539,90.034
