title,artist,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Peaches (Feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",0.677,0.696,0,-6.181,0.119,0.321,0.0,0.42,0.464,90.03
Telepatía,Kali Uchis,0.653,0.524,11,-9.016,0.0502,0.112,0.0,0.203,0.553,83.97
Save Your Tears,The Weeknd,0.68,0.826,0,-5.487,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
Montero (Call Me By Your Name),Lil Nas X,0.61,0.508,8,-6.682,0.152,0.297,0.0,0.384,0.758,178.818
Drivers License,Olivia Rodrigo,0.585,0.436,10,-8.761,0.0601,0.721,1.31e-05,0.105,0.132,143.874
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",0.586,0.616,5,-7.964,0.0324,0.182,0.0,0.0927,0.719,148.088
Streets,Doja Cat,0.749,0.463,11,-8.433,0.0828,0.208,0.0371,0.337,0.19,90.028
As I Am (Feat. Khalid),"Justin Bieber, Khalid",0.608,0.547,11,-8.151,0.0368,0.131,0.0,0.0974,0.108,99.947
Friday (Feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",0.824,0.862,2,-3.424,0.126,0.0076,0.000132,0.303,0.801,122.98
34+35,Ariana Grande,0.83,0.585,0,-6.476,0.094,0.237,0.0,0.248,0.485,109.978
What’S Next,Drake,0.781,0.594,0,-6.959,0.0485,0.0136,0.0,0.162,0.0628,129.895
Goosebumps - Remix,"Travis Scott, Hvme",0.841,0.593,1,-7.846,0.0379,0.418,0.0,0.124,0.808,124.917
Prisoner (Feat. Dua Lipa),"Miley Cyrus, Dua Lipa",0.781,0.67,3,-3.912,0.0452,0.0103,0.0,0.0761,0.595,127.99
Heartbreak Anniversary,Giveon,0.449,0.465,0,-8.964,0.0791,0.524,1.02e-06,0.303,0.543,89.087
Anyone,Justin Bieber,0.686,0.538,2,-8.026,0.0345,0.181,3.13e-06,0.113,0.584,115.884
Calling My Phone,"Lil Tjay, 6Lack",0.907,0.393,4,-7.636,0.0539,0.451,1.35e-06,0.135,0.202,104.949
Levitating (Feat. Dababy),"Dua Lipa, Dababy",0.702,0.825,6,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
Mess Me Up,Johnning,0.602,0.594,8,-8.677,0.0504,0.304,1.32e-06,0.3,0.629,172.069
Mood (Feat. Iann Dior),"24Kgoldn, Iann Dior",0.7,0.722,7,-3.558,0.0369,0.221,0.0,0.272,0.756,90.989
Test Drive,Ariana Grande,0.698,0.708,9,-4.943,0.0454,0.0251,0.0,0.124,0.322,115.036
Blinding Lights,The Weeknd,0.513,0.796,1,-4.075,0.0629,0.00147,0.000209,0.0938,0.345,171.017
I'M Not Pretty,Jessia,0.783,0.526,7,-6.478,0.261,0.0802,0.0,0.066,0.902,75.002
Without You,The Kid Laroi,0.662,0.413,0,-7.357,0.0299,0.213,0.0,0.134,0.467,93.005
We'Re Good,Dua Lipa,0.722,0.588,6,-5.932,0.0544,0.0319,0.0,0.183,0.59,134.01
Hold On,Justin Bieber,0.658,0.634,1,-5.797,0.0413,0.0106,0.0,0.132,0.29,139.98
Astronaut In The Ocean,Masked Wolf,0.778,0.695,4,-6.865,0.0913,0.175,0.0,0.15,0.472,149.996
Wants And Needs (Feat. Lil Baby),"Drake, Lil Baby",0.578,0.449,1,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006
Your Love (9Pm),"Atb, Topic, A7S",0.669,0.784,7,-5.603,0.112,0.194,6.28e-06,0.115,0.517,125.993
Holiday,Lil Nas X,0.81,0.511,5,-6.924,0.164,0.12,0.0,0.0832,0.837,151.947
You Broke Me First,Tate Mcrae,0.667,0.373,4,-9.389,0.05,0.785,0.0,0.0906,0.0823,124.148
Beautiful Mistakes (Feat. Megan Thee Stallion),"Maroon 5, Megan Thee Stallion",0.713,0.676,10,-5.483,0.027,0.0377,0.0,0.154,0.721,99.048
Good Days,Sza,0.436,0.655,1,-8.37,0.0583,0.499,8.1e-06,0.688,0.412,121.002
Afterglow,Ed Sheeran,0.641,0.324,11,-5.851,0.0299,0.698,0.0,0.328,0.273,110.184
"Lemonade (Feat. Gunna, Don Toliver & Nav)","Internet Money, Gunna, Don Toliver, Nav",0.8,0.658,1,-6.142,0.079,0.25,0.0,0.111,0.462,140.042
Dynamite,Bts,0.746,0.765,6,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044
Take You Dancing,Jason Derulo,0.789,0.711,2,-4.248,0.041,0.0332,0.0,0.0876,0.753,112.985
Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber",0.652,0.383,2,-7.076,0.0516,0.0676,0.0,0.0828,0.549,145.765
Best Friend (Feat. Doja Cat),"Saweetie, Doja Cat",0.84,0.766,4,-4.12,0.136,0.00302,3.61e-06,0.0684,0.402,94.018
Positions,Ariana Grande,0.736,0.802,0,-4.759,0.0864,0.468,0.0,0.094,0.675,144.005
Paradise (Feat. Dermot Kennedy),"Meduza, Dermot Kennedy",0.632,0.595,8,-7.644,0.0401,0.0689,0.0,0.209,0.435,124.114
Therefore I Am,Billie Eilish,0.889,0.34,11,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009
Don'T You Dare,"Besomage, Gloria Kim, Bran",0.689,0.782,3,-4.709,0.0305,0.0779,0.0,0.112,0.33,120.055
Up,Cardi B,0.868,0.795,11,-6.044,0.269,0.0012,0.0193,0.0461,0.819,166.0
Watermelon Sugar,Harry Styles,0.548,0.816,0,-4.209,0.0465,0.122,0.0,0.335,0.557,95.39
Arcade,Duncan Laurence,0.453,0.35,9,-11.639,0.0425,0.827,0.00122,0.144,0.279,72.017
Head & Heart (Feat. Mnek),"Joel Corry, Mnek",0.734,0.874,8,-3.158,0.0662,0.168,1.14e-05,0.0489,0.905,122.953
Willow,Taylor Swift,0.392,0.574,7,-9.195,0.17,0.833,0.00179,0.145,0.529,81.112
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",0.767,0.481,0,-8.52,0.0803,0.234,0.0,0.269,0.761,150.076
Midnight Sky,Miley Cyrus,0.705,0.814,4,-5.466,0.0346,0.00115,0.00312,0.203,0.259,110.0
Bed,"Joel Corry, Raye, David Guetta",0.663,0.783,6,-4.585,0.0393,0.0134,0.00179,0.325,0.622,123.986
Wap (Feat. Megan Thee Stallion),"Cardi B, Megan Thee Stallion",0.935,0.454,1,-7.509,0.375,0.0194,0.0,0.0824,0.357,133.073
Violent,Carolesdaughter,0.797,0.755,2,-5.393,0.0293,0.331,2.26e-06,0.124,0.411,129.955
So Done,The Kid Laroi,0.719,0.598,9,-6.254,0.077,0.232,0.0,0.115,0.303,142.592
Skin,Sabrina Carpenter,0.557,0.457,7,-5.372,0.0335,0.428,0.0,0.0567,0.328,105.918
Loved With Your Love,"Arc North, Rival, Robbie Rosen",0.412,0.536,11,-7.366,0.0762,0.508,0.0,0.144,0.628,93.718
Lonely (With Benny Blanco),"Justin Bieber, Benny Blanco",0.631,0.239,11,-7.071,0.0398,0.864,0.0,0.116,0.0927,79.859
Champagne Supernova,Spritely,0.557,0.587,10,-5.955,0.0404,0.64,0.0,0.125,0.115,74.952
Love Not War (The Tampa Beat),"Jason Derulo, Nuka",0.738,0.85,8,-3.049,0.0642,0.105,0.0,0.23,0.865,98.013
Lo Vas A Olvidar (With Rosalía),"Billie Eilish, Rosalía",0.343,0.243,4,-14.66,0.0777,0.721,0.00198,0.0668,0.032,135.154
Breaking Me,"Topic, A7S",0.789,0.72,8,-5.652,0.218,0.223,0.0,0.129,0.664,122.031
Holy (Feat. Chance The Rapper),"Justin Bieber, Chance The Rapper",0.673,0.704,6,-8.056,0.36,0.196,0.0,0.0898,0.372,86.919
Hate That About You,"Rival, Myah Marie",0.67,0.698,4,-5.894,0.0446,0.342,0.0,0.0473,0.817,102.942
Angels Like You,Miley Cyrus,0.672,0.642,5,-4.035,0.0313,0.0981,0.0,0.1,0.494,121.981
Dákiti,"Bad Bunny, Jhay Cortez",0.731,0.573,4,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928
Deja Vu,Olivia Rodrigo,0.439,0.61,9,-7.236,0.116,0.593,1.07e-05,0.341,0.172,181.088
Roses - Imanbek Remix,"Saint Jhn, Imanbek",0.77,0.724,8,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975
Death Bed (Coffee For Your Head),"Powfu, Beabadoobee",0.726,0.431,8,-8.765,0.135,0.731,0.0,0.696,0.348,144.026
Hawái - Remix,"Maluma, The Weeknd",0.766,0.788,6,-3.128,0.312,0.105,5.81e-06,0.142,0.609,179.984
Vibez,Zayn,0.635,0.659,7,-7.499,0.116,0.242,0.0285,0.105,0.34,96.855
Goosebumps,Hvme,0.767,0.659,1,-7.429,0.0444,0.325,0.0,0.13,0.439,124.946
Something About Ya,3409,0.784,0.667,0,-7.692,0.0609,0.0468,0.00483,0.111,0.535,105.018
Golden,Harry Styles,0.448,0.838,4,-5.257,0.0557,0.21,0.000131,0.131,0.254,139.863
Caroline,High Tropics,0.462,0.813,9,-4.562,0.0327,5.65e-05,0.00352,0.227,0.595,129.99
Rockstar (Feat. Roddy Ricch),"Dababy, Roddy Ricch",0.746,0.69,11,-7.956,0.164,0.247,0.0,0.101,0.497,89.977
Heather,Conan Gray,0.357,0.425,5,-7.301,0.0333,0.584,0.0,0.322,0.27,102.078
Rain On Me (With Ariana Grande),"Lady Gaga, Ariana Grande",0.672,0.855,9,-3.764,0.0397,0.021,0.0,0.323,0.646,123.056
Put Your Records On,Ritt Momney,0.399,0.491,6,-10.778,0.0538,0.0563,0.00089,0.11,0.151,91.066
Supalonely,"Benee, Gus Dapperton",0.863,0.631,7,-4.689,0.0534,0.305,3.04e-05,0.123,0.817,128.977
Bother Me,Johnning,0.687,0.412,7,-9.633,0.0314,0.708,0.0,0.141,0.455,99.959
Say So,Doja Cat,0.787,0.673,11,-4.577,0.158,0.256,3.57e-06,0.0904,0.786,110.962
Mad At Disney,Salem Ilese,0.738,0.621,0,-7.313,0.0486,0.424,7.39e-06,0.692,0.715,113.968
Ily (I Love You Baby) (Feat. Emilee),"Surf Mesa, Emilee",0.674,0.774,11,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05
Preach,Camo Columbo,0.833,0.323,3,-6.3,0.0982,0.75,0.0111,0.137,0.678,93.031
Tick Tock (Feat. 24Kgoldn),"Clean Bandit, Mabel, 24Kgoldn",0.779,0.705,0,-3.895,0.0344,0.369,7.91e-06,0.124,0.946,101.022
The Business,Tiësto,0.798,0.62,8,-7.079,0.232,0.414,0.0192,0.112,0.235,120.031
No Ordinary Love,3409,0.771,0.616,6,-6.851,0.0416,0.00174,5.41e-05,0.117,0.336,106.013
Met Him Last Night (Feat. Ariana Grande),"Demi Lovato, Ariana Grande",0.538,0.512,4,-4.548,0.0262,0.22,0.0,0.101,0.12,144.978
Savage Remix (Feat. Beyoncé),"Megan Thee Stallion, Beyoncé",0.822,0.743,10,-4.772,0.28,0.016,0.0,0.127,0.636,84.459
Un Dia (One Day) (Feat. Tainy),"J Balvin, Tainy, Dua Lipa, Bad Bunny",0.571,0.693,6,-8.234,0.0545,0.00536,0.0,0.173,0.393,168.169
Dance Monkey,Tones And I,0.825,0.593,6,-6.401,0.0988,0.688,0.000161,0.17,0.54,98.078
Juvenile Mind,"Cadmium, Grant Dawson",0.535,0.536,4,-5.141,0.0385,0.369,0.0,0.522,0.505,172.0
Nobody'S Love,Maroon 5,0.486,0.567,1,-6.456,0.0379,0.31,0.0,0.0949,0.154,93.68
Tkn (Feat. Travis Scott),"Rosalía, Travis Scott",0.776,0.509,0,-6.266,0.467,0.192,1.49e-06,0.115,0.485,94.634
Deep End,Fousheé,0.711,0.592,4,-7.136,0.23,0.758,0.0,0.156,0.535,124.749
Get To You,Intrn,0.839,0.42,7,-11.375,0.0468,0.519,0.0,0.151,0.568,126.022
Break My Heart,Dua Lipa,0.73,0.729,4,-3.434,0.0886,0.167,1.39e-06,0.349,0.467,113.012
Lose Somebody,"Kygo, Onerepublic",0.58,0.586,1,-6.883,0.0357,0.344,0.0,0.0755,0.507,147.988
Kings & Queens,Ava Max,0.638,0.688,1,-4.056,0.0407,0.00775,0.0,0.126,0.434,129.856
Dangerous,"The Tech Thieves, Besomorph",0.512,0.813,7,-4.895,0.0304,0.00605,0.00199,0.105,0.167,90.019
"Whats Poppin (Feat. Dababy, Tory Lanez & Lil Wayne) - Remix","Jack Harlow, Tory Lanez, Dababy, Lil Wayne",0.904,0.723,11,-5.224,0.26,0.0631,0.0,0.185,0.835,145.013
Be Kind (With Halsey),"Marshmello, Halsey",0.63,0.633,4,-7.088,0.0457,0.00776,0.0,0.0541,0.452,93.995
Physical,Dua Lipa,0.647,0.844,0,-3.756,0.0457,0.0137,0.000658,0.102,0.746,146.967
Sober,Johnning,0.448,0.692,6,-9.937,0.141,0.0159,1.39e-06,0.0896,0.182,199.638
Hostage,"Besomorph, Riell",0.546,0.605,10,-6.346,0.0396,0.486,0.0,0.115,0.304,80.032
Secrets,"Regard, Raye",0.848,0.768,6,-5.386,0.0373,0.0412,0.000785,0.195,0.777,118.961
Popstar (Feat. Drake),"Dj Khaled, Drake",0.8,0.56,5,-4.818,0.261,0.057,0.0,0.134,0.45,163.071
Lifestyle (Feat. Adam Levine),"Jason Derulo, Adam Levine, Maroon 5",0.749,0.674,10,-5.128,0.0366,0.0209,0.0,0.169,0.711,123.055
Mamacita,"Black Eyed Peas, Ozuna, J. Rey Soul",0.894,0.635,2,-6.929,0.0473,0.193,0.00105,0.0823,0.428,105.013
Rehab,Johnning,0.705,0.584,6,-5.625,0.228,0.0063,0.0,0.141,0.723,120.257
In Your Eyes,The Weeknd,0.667,0.719,7,-5.371,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
Don'T Start Now,Dua Lipa,0.794,0.793,11,-4.521,0.0842,0.0125,0.0,0.0952,0.677,123.941
Roxanne,Arizona Zervas,0.621,0.601,6,-5.616,0.148,0.0522,0.0,0.46,0.457,116.735
Baby,Madison Beer,0.705,0.707,0,-5.174,0.0534,0.0799,0.0,0.149,0.452,117.974
Know The Way,"Rival, Nick Smith",0.448,0.708,1,-6.525,0.0441,0.183,0.0,0.189,0.534,79.53
Señorita,"Shawn Mendes, Camila Cabello",0.759,0.548,9,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967
Yummy,Justin Bieber,0.687,0.514,9,-6.612,0.0897,0.366,0.0,0.116,0.494,145.921
Baila Conmigo (With Rauw Alejandro),"Selena Gomez, Rauw Alejandro",0.823,0.544,5,-7.132,0.0715,0.0215,0.00315,0.0966,0.664,149.903
Death Bed,"Besomorph, Anthony Keyrouz, Lunis",0.683,0.886,0,-5.179,0.0637,0.184,0.0,0.283,0.367,127.915
Follow You,Imagine Dragons,0.542,0.732,9,-5.956,0.0521,0.00209,7.92e-05,0.496,0.489,124.912
My Head & My Heart,Ava Max,0.614,0.934,9,-3.709,0.07,0.0697,0.0,0.121,0.436,116.001
Confident,Left.,0.507,0.599,0,-7.074,0.0934,0.0079,0.0,0.0909,0.516,89.932
On The Ground,Rosé,0.311,0.607,1,-6.578,0.11,0.0174,0.0,0.131,0.286,188.7
Sugarcrash!,Elyotto,0.748,0.734,0,-6.499,0.124,0.524,1.15e-05,0.0975,0.368,97.753
Apologize,"Besomorph, Anthony Keyrouz, Lunis",0.687,0.642,0,-7.949,0.0833,0.198,0.0,0.235,0.204,128.044
Remember That Night?,Sara Kays,0.679,0.61,7,-10.936,0.0305,0.585,9.51e-05,0.156,0.554,123.978
Talk Dirty (Feat. 2 Chainz),"Jason Derulo, 2 Chainz",0.76,0.652,6,-7.321,0.232,0.0348,0.0,0.307,0.759,100.315
Humble.,Kendrick Lamar,0.908,0.621,1,-6.638,0.102,0.000282,5.39e-05,0.0958,0.421,150.011
Mirrors,Justin Timberlake,0.574,0.512,5,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899
Thunder,Imagine Dragons,0.605,0.822,0,-4.833,0.0438,0.00671,0.134,0.147,0.288,167.997
Believer,Imagine Dragons,0.776,0.78,10,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949
Set Fire To The Rain,Adele,0.61,0.683,2,-3.879,0.0253,0.00382,1.79e-06,0.125,0.466,108.003
Right Round,Flo Rida,0.72,0.672,7,-6.852,0.0551,0.009,0.0,0.232,0.705,124.986
Shut Up And Dance,Walk The Moon,0.578,0.866,1,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038
High Hopes,Panic! At The Disco,0.579,0.904,5,-2.729,0.0618,0.193,0.0,0.064,0.681,82.014
Just Give Me A Reason (Feat. Nate Ruess),"P!Nk, Nate Ruess",0.778,0.547,2,-7.273,0.0489,0.346,0.000302,0.132,0.441,95.002
The Monster,"Eminem, Rihanna",0.781,0.853,1,-3.68,0.0715,0.0525,0.0,0.12,0.624,110.049
No Guidance (Feat. Drake),"Chris Brown, Drake",0.696,0.454,1,-6.756,0.153,0.123,0.0,0.155,0.136,92.928
Bad And Boujee (Feat. Lil Uzi Vert),"Migos, Lil Uzi Vert",0.927,0.665,11,-5.313,0.244,0.061,0.0,0.123,0.175,127.076
Ho Hey,The Lumineers,0.685,0.474,0,-9.105,0.0313,0.779,1.23e-06,0.149,0.36,79.991
Wrecking Ball,Miley Cyrus,0.53,0.422,5,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964
In My Feelings,Drake,0.835,0.626,1,-5.833,0.125,0.0589,6e-05,0.396,0.35,91.03
Break Your Heart,"Taio Cruz, Ludacris",0.666,0.899,8,-4.676,0.028,0.00155,0.0,0.0677,0.629,122.05
Panda,Desiigner,0.685,0.731,10,-5.503,0.414,0.0292,0.0,0.369,0.266,145.245
Super Bass,Nicki Minaj,0.72,0.861,11,-4.339,0.209,0.269,5.11e-06,0.601,0.669,126.991
Heathens,Twenty One Pilots,0.732,0.396,4,-9.348,0.0286,0.0841,3.58e-05,0.105,0.548,90.024
Hotline Bling,Drake,0.891,0.628,2,-7.863,0.0551,0.00258,0.00019,0.0504,0.552,134.966
Take Me To Church,Hozier,0.566,0.664,4,-5.303,0.0464,0.634,0.0,0.116,0.437,128.945
Timber (Feat. Ke$Ha),"Pitbull, Kesha",0.581,0.963,11,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992
Meant To Be (Feat. Florida Georgia Line),"Bebe Rexha, Florida Georgia Line",0.643,0.783,10,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084
Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0.0588,0.0427,0.0,0.106,0.952,137.958
Talk,"Khalid, Disclosure",0.9,0.4,0,-8.443,0.124,0.0501,0.0,0.0876,0.338,136.001
Nice For What,Drake,0.585,0.909,8,-6.474,0.0707,0.0891,9.7e-05,0.119,0.758,93.372
What Do You Mean?,Justin Bieber,0.845,0.567,5,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02
Truth Hurts,Lizzo,0.715,0.624,4,-3.046,0.114,0.11,0.0,0.123,0.412,158.087
Señorita,"Shawn Mendes, Camila Cabello",0.759,0.54,9,-6.039,0.0287,0.037,0.0,0.0945,0.75,116.947
Smack That,"Akon, Eminem",0.939,0.742,5,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978
Stronger (What Doesn'T Kill You),Kelly Clarkson,0.562,0.939,0,-4.282,0.0475,0.046,0.0,0.112,0.684,116.044
Cheerleader - Felix Jaehn Remix Radio Edit,"Omi, Felix Jaehn",0.782,0.685,4,-6.237,0.0309,0.166,1.18e-05,0.16,0.603,118.016
"Can'T Stop The Feeling! (Original Song From Dreamworks Animation'S ""Trolls"")",Justin Timberlake,0.667,0.83,0,-5.715,0.0749,0.0123,0.0,0.191,0.701,113.03
Watch Me (Whip / Nae Nae),Silentó,0.821,0.759,8,-8.541,0.121,0.247,0.0,0.321,0.962,140.01
Psycho (Feat. Ty Dolla $Ign),"Post Malone, Ty Dolla $Ign",0.75,0.56,8,-8.094,0.105,0.546,0.0,0.111,0.459,140.06
Airplanes (Feat. Hayley Williams Of Paramore),"B.O.B, Hayley Williams",0.66,0.867,6,-4.285,0.116,0.11,0.0,0.0368,0.377,93.033
Hot N Cold,Katy Perry,0.706,0.841,7,-3.956,0.0418,7.95e-05,0.0,0.0688,0.861,132.032
Payphone,"Maroon 5, Wiz Khalifa",0.739,0.756,4,-4.828,0.0394,0.0136,0.0,0.37,0.523,110.028
Here Without You,3 Doors Down,0.557,0.533,10,-6.817,0.0252,0.0492,0.0,0.205,0.233,143.994
Unwell,Matchbox Twenty,0.256,0.788,6,-5.263,0.0403,0.0298,0.0,0.707,0.429,80.718
Sugar,Maroon 5,0.748,0.788,1,-7.055,0.0334,0.0591,0.0,0.0863,0.884,120.076
"Thank U, Next",Ariana Grande,0.717,0.653,1,-5.634,0.0658,0.229,0.0,0.101,0.412,106.966
Rude,Magic!,0.774,0.756,1,-4.995,0.0389,0.0423,0.0,0.305,0.931,144.032
Disturbia,Rihanna,0.707,0.813,11,-4.515,0.0571,0.0863,0.0,0.168,0.722,124.921
Temperature,Sean Paul,0.951,0.6,0,-4.675,0.0685,0.106,0.0,0.0712,0.822,125.04
I'M Yours,Jason Mraz,0.686,0.457,11,-8.322,0.0468,0.595,0.0,0.105,0.718,150.953
I'M An Albatraoz,"Aronchupa, Little Sis Nora",0.883,0.817,0,-5.414,0.235,0.601,0.00449,0.11,0.595,128.078
Sexyback (Feat. Timbaland),"Justin Timberlake, Timbaland",0.967,0.583,7,-5.562,0.0789,0.0584,0.0,0.0519,0.964,117.0
Better Now,Post Malone,0.68,0.578,10,-5.804,0.04,0.331,0.0,0.135,0.341,145.038
Bad Romance,Lady Gaga,0.696,0.921,0,-3.755,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001
How To Save A Life,The Fray,0.64,0.743,10,-4.08,0.0379,0.269,0.0,0.101,0.361,122.035
Can'T Hold Us - Feat. Ray Dalton,Macklemore & Ryan Lewis,0.641,0.922,2,-4.457,0.0786,0.0291,0.0,0.0862,0.847,146.078
Umbrella,"Rihanna, Jay-Z",0.583,0.829,1,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028
Stay With Me,Sam Smith,0.418,0.42,0,-6.444,0.0414,0.588,6.39e-05,0.11,0.184,84.094
7 Rings,Ariana Grande,0.778,0.317,1,-10.732,0.334,0.592,0.0,0.0881,0.327,140.048
Some Nights,Fun.,0.672,0.738,0,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938
Cheap Thrills (Feat. Sean Paul),"Sia, Sean Paul",0.592,0.8,6,-4.931,0.215,0.0561,2.01e-06,0.0775,0.728,89.972
Wow.,Post Malone,0.829,0.539,11,-7.359,0.208,0.136,1.78e-06,0.103,0.388,99.96
Get Busy,Sean Paul,0.735,0.824,10,-4.143,0.036,0.615,0.0,0.158,0.726,100.202
Can'T Feel My Face,The Weeknd,0.705,0.769,9,-5.526,0.0425,0.113,0.0,0.105,0.583,107.949
Fancy,"Iggy Azalea, Charli Xcx",0.912,0.716,10,-4.141,0.0697,0.0904,0.0,0.0491,0.377,94.981
Viva La Vida,Coldplay,0.486,0.617,5,-7.115,0.0287,0.0954,3.23e-06,0.109,0.417,138.015
Since U Been Gone,Kelly Clarkson,0.662,0.739,9,-5.354,0.0322,0.00206,0.0603,0.113,0.382,130.999
Circles,Post Malone,0.695,0.762,0,-3.497,0.0395,0.192,0.00244,0.0863,0.553,120.042
Omg (Feat. Will.I.Am),"Usher, Will.I.Am",0.781,0.745,4,-5.81,0.0332,0.198,1.14e-05,0.36,0.326,129.998
Havana (Feat. Young Thug),"Camila Cabello, Young Thug",0.765,0.523,2,-4.333,0.03,0.184,3.56e-05,0.132,0.394,104.988
Someone You Loved,Lewis Capaldi,0.501,0.405,1,-5.679,0.0319,0.751,0.0,0.105,0.446,109.891
Don'T Let Me Down,"The Chainsmokers, Daya",0.532,0.869,11,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803
Wake Me Up,Avicii,0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08
Empire State Of Mind,"Jay-Z, Alicia Keys",0.491,0.956,11,-1.538,0.392,0.0295,0.0,0.46,0.811,173.585
Grenade,Bruno Mars,0.706,0.558,2,-7.237,0.0593,0.146,0.0,0.118,0.227,110.443
Promiscuous,"Nelly Furtado, Timbaland",0.807,0.97,10,-6.056,0.0477,0.0536,6.6e-05,0.149,0.876,114.297
Work,"Rihanna, Drake",0.725,0.534,11,-6.238,0.0946,0.0752,0.0,0.0919,0.558,91.974
Work From Home (Feat. Ty Dolla $Ign),"Fifth Harmony, Ty Dolla $Ign",0.803,0.585,8,-5.861,0.0432,0.103,3.94e-06,0.0644,0.593,105.017
Hello,Adele,0.481,0.451,5,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966
Bad Guy,Billie Eilish,0.701,0.425,7,-10.965,0.375,0.328,0.13,0.1,0.562,135.128
Kryptonite,3 Doors Down,0.545,0.865,11,-5.708,0.0286,0.00664,1.1e-05,0.168,0.543,99.009
Lucid Dreams,Juice Wrld,0.511,0.566,6,-7.23,0.2,0.349,0.0,0.34,0.218,83.903
"Hey, Soul Sister",Train,0.673,0.886,1,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012
Poker Face,Lady Gaga,0.851,0.806,4,-4.62,0.0787,0.118,1.64e-06,0.121,0.787,118.999
Hollaback Girl,Gwen Stefani,0.926,0.916,10,-2.221,0.0929,0.35,6.17e-06,0.0234,0.904,110.007
Dynamite,Taio Cruz,0.754,0.804,4,-3.177,0.0853,0.00332,0.0,0.0329,0.818,119.968
Crazy In Love (Feat. Jay-Z),"Beyoncé, Jay-Z",0.646,0.77,2,-6.596,0.226,0.00249,0.0,0.0715,0.681,99.165
Sorry,Justin Bieber,0.654,0.76,0,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945
Thinking Out Loud,Ed Sheeran,0.781,0.445,2,-6.061,0.0295,0.474,0.0,0.184,0.591,78.998
Love The Way You Lie,"Eminem, Rihanna",0.749,0.925,10,-5.034,0.227,0.241,0.0,0.52,0.641,86.989
Locked Out Of Heaven,Bruno Mars,0.726,0.698,5,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994
Need You Now,Lady A,0.581,0.717,4,-4.433,0.0318,0.0298,0.000186,0.243,0.316,107.884
"Give Me Everything (Feat. Ne-Yo, Afrojack & Nayer)","Pitbull, Ne-Yo, Afrojack, Nayer",0.671,0.939,8,-3.206,0.161,0.191,0.0,0.298,0.53,129.024
Firework,Katy Perry,0.638,0.826,8,-4.968,0.0479,0.139,0.0,0.0803,0.649,124.072
Live Your Life,"T.I., Rihanna",0.375,0.862,11,-3.363,0.255,0.071,0.0,0.211,0.478,159.841
Just Dance,"Lady Gaga, Colby O'Donis",0.822,0.739,1,-4.541,0.0311,0.0264,4.26e-05,0.181,0.745,118.992
Love Yourself,Justin Bieber,0.609,0.378,4,-9.828,0.438,0.835,0.0,0.28,0.515,100.418
Run It! (Feat. Juelz Santana),"Chris Brown, Juelz Santana",0.846,0.482,1,-6.721,0.129,0.0246,0.0,0.393,0.212,100.969
"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,0.692,0.744,2,-4.565,0.257,0.00868,0.000423,0.359,0.0612,171.374
Hanging By A Moment,Lifehouse,0.541,0.864,1,-4.915,0.0357,0.00118,0.0,0.0896,0.435,124.557
Irreplaceable,Beyoncé,0.447,0.694,7,-4.637,0.382,0.0293,5.46e-06,0.167,0.509,175.868
Counting Stars,Onerepublic,0.664,0.705,1,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017
